City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,tolaga bay,-38.3667,178.3,71.2,61,28,14.67,NZ,1635205471
85,ngorongoro,-3.2397,35.4875,52.45,82,93,5.21,TZ,1635205400
86,lucban,14.1133,121.5569,79.66,79,75,7.65,PH,1635205472
87,ucluelet,48.9329,-125.5528,53.1,90,100,3.0,CA,1635205259
88,teknaf,20.8624,92.3058,75.58,87,98,3.44,BD,1635205474
89,upata,8.0086,-62.3989,71.4,95,98,8.08,VE,1635205474
90,kupang,-10.1667,123.5833,84.78,70,20,5.75,ID,1635205474
91,kampong thum,12.7111,104.8887,73.83,91,79,3.85,KH,1635205475
92,buala,-8.145,159.5921,85.89,65,55,8.79,SB,1635205267
93,kologriv,58.8275,44.3178,34.18,97,100,11.41,RU,1635205475
94,klaksvik,62.2266,-6.589,43.72,76,99,8.1,FO,1635205348
95,san rafael,-34.6177,-68.3301,79.27,11,0,10.67,AR,1635205366
96,torbay,47.6666,-52.7314,40.26,81,90,11.5,CA,1635205341
97,samarai,-10.6167,150.6667,83.35,73,51,10.42,PG,1635205377
98,hasaki,35.7333,140.8333,59.4,92,100,34.99,JP,1635205380
99,richards bay,-28.783,32.0377,63.28,96,100,5.77,ZA,1635205477
100,rio grande,-32.035,-52.0986,73.51,79,0,9.64,BR,1635205414
101,iqaluit,63.7506,-68.5145,31.73,86,90,4.0,CA,1635205478
102,half moon bay,37.4636,-122.4286,65.08,72,1,1.99,US,1635205218
103,dimapur,25.9,93.7333,66.04,90,4,0.69,IN,1635205479
104,kaitangata,-46.2817,169.8464,56.59,79,100,7.02,NZ,1635205479
105,aripuana,-9.1667,-60.6333,72.77,97,85,1.68,BR,1635205479
106,balykshi,47.0667,51.8667,32.0,80,0,8.95,KZ,1635205480
107,oussouye,12.485,-16.5469,82.58,82,99,1.74,SN,1635205480
108,bethel,41.3712,-73.414,66.99,88,90,4.61,US,1635205471
109,houston,29.7633,-95.3633,88.34,68,1,4.0,US,1635205391
110,butaritari,3.0707,172.7902,81.73,74,8,6.08,KI,1635205214
111,sidi ali,36.0998,0.4206,62.71,63,100,8.95,DZ,1635205482
112,bredasdorp,-34.5322,20.0403,58.32,88,45,8.05,ZA,1635205271
113,new norfolk,-42.7826,147.0587,56.66,41,19,1.88,AU,1635205245
114,haines junction,60.7522,-137.5108,30.15,69,100,1.14,CA,1635205483
